load,cpu_mean_node-34A9F0,cpu_mean_node-717AC4,cpu_mean_delta,cpu_p95_node-34A9F0,cpu_p95_node-717AC4,cpu_p95_delta,exec_max_p95_node-34A9F0,exec_max_p95_node-717AC4,exec_max_p95_delta,miss_p95_node-34A9F0,miss_p95_node-717AC4,miss_p95_delta,telemetry_latency_p95_ms_node-34A9F0,telemetry_latency_p95_ms_node-717AC4,telemetry_latency_p95_ms_delta
100,5.00,4.78,-0.22,5.00,5.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,97.00,84.00,-13.00
1000,16.14,23.00,6.86,38.00,35.00,-3.00,13.00,13.00,0.00,20.00,20.00,0.00,46.00,31.00,-15.00
200,14.22,15.00,0.78,16.00,16.00,0.00,2.00,2.00,0.00,0.00,0.00,0.00,126.00,115.00,-11.00
300,29.00,28.33,-0.67,30.00,31.00,1.00,4.00,4.00,0.00,0.00,0.00,0.00,91.00,71.00,-20.00
400,40.22,39.78,-0.44,43.00,43.00,0.00,5.00,5.00,0.00,0.00,0.00,0.00,110.00,101.00,-9.00
500,52.88,54.50,1.62,56.00,56.00,0.00,6.00,6.00,0.00,0.00,0.00,0.00,107.00,82.00,-25.00
600,63.88,63.50,-0.38,70.00,70.00,0.00,7.00,7.00,0.00,0.00,0.00,0.00,40.00,18.00,-22.00
700,70.75,72.12,1.37,82.00,81.00,-1.00,9.00,9.00,0.00,0.00,0.00,0.00,116.00,90.00,-26.00
800,84.50,81.50,-3.00,92.00,87.00,-5.00,10.00,10.00,0.00,0.00,0.00,0.00,89.00,64.00,-25.00
900,31.12,48.75,17.63,53.00,94.00,41.00,11.00,11.00,0.00,20.00,20.00,0.00,89.00,49.00,-40.00
