node_id,load,cpu_mean,cpu_p95,cpu_std,volatility_score,queue_mean,queue_p95,eff_blocks_mean,exec_max_p95,miss_p95,ctrl_latency_p95_ms,telemetry_latency_p95_ms,warning
node-717AC4,100,4.75,5,0.43,0.43,0,0,2,1,0,0,60,ok
node-34A9F0,100,4.5,5,0.5,0.5,0,0,2,1,0,0,67,ok
node-717AC4,200,14.38,15,0.86,0.86,0,0,4,2,0,0,71,ok
node-34A9F0,200,15.12,16,0.6,0.6,0,0,4,2,0,0,91,ok
node-717AC4,300,30.44,32,2.79,2.79,0,0,7,4,0,0,88,ok
node-34A9F0,300,30.33,33,1.83,1.83,0,0,7,4,0,0,112,ok
node-717AC4,400,39.56,41,2.01,2.01,0,0,9,5,0,0,99,ok
node-34A9F0,400,40,44,2.45,2.45,0,0,9,5,0,0,129,ok
node-717AC4,500,51.67,56,6.7,6.7,0,0,12,6,0,0,82,ok
node-34A9F0,500,54,59,3.59,3.59,0,0,12,6,0,0,102,ok
node-717AC4,600,64.22,70,3.79,3.79,0,0,14,7,0,0,105,ok
node-34A9F0,600,62.56,68,6.48,6.48,0,0,14,7,0,0,126,ok
node-717AC4,700,74.88,77,2.09,2.09,0,0,16,8,0,0,86,ok
node-34A9F0,700,72.25,79,7.31,7.31,0,0,16,8,0,0,106,ok
node-717AC4,800,82.11,89,7.61,7.61,0,0,19,10,0,0,299,ok
node-34A9F0,800,85.12,90,7.91,7.91,0,0,19,10,0,0,308,cpu_saturation
node-717AC4,900,42,86,33.46,33.46,0,0,21,11,20,0,291,miss
node-34A9F0,900,47.75,65,28.66,28.66,0.5,1,21,11,20,0,308,miss|queue
node-717AC4,1000,20.75,27,15.42,15.42,0,0,24,13,20,0,314,miss
node-34A9F0,1000,33,70,28.68,28.68,0.12,0,24,13,20,0,334,miss
