t_s,node_id,deleg_state,deleg_state_int,deleg_peer,deleg_blocks,deleg_dispatched,deleg_returned,cpu,load,miss,stress_level,active_blocks,eff_blocks,state
0.01,node-2FCC00,IDLE,0,,0,0,0,0,100,0,0,20,0,SCHEDULABLE
1.03,node-2FCC00,IDLE,0,,0,0,0,0,100,0,0,20,0,SCHEDULABLE
2.06,node-2FCC00,IDLE,0,,0,0,0,0,100,0,0,20,0,SCHEDULABLE
2.99,node-2FCC00,IDLE,0,,0,0,0,0,100,0,0,20,0,SCHEDULABLE
4.0,node-2FCC00,IDLE,0,,0,0,0,4,100,0,0,20,0,SCHEDULABLE
5.03,node-2FCC00,IDLE,0,,0,0,0,16,100,0,0,20,2,SCHEDULABLE
6.05,node-2FCC00,IDLE,0,,0,0,0,16,100,0,0,20,2,SCHEDULABLE
6.99,node-2FCC00,IDLE,0,,0,0,0,16,100,0,0,20,2,SCHEDULABLE
7.99,node-2FCC00,IDLE,0,,0,0,0,22,200,0,0,20,4,SCHEDULABLE
9.02,node-2FCC00,IDLE,0,,0,0,0,30,200,0,0,20,4,SCHEDULABLE
9.98,node-2FCC00,IDLE,0,,0,0,0,29,200,0,0,20,4,SCHEDULABLE
11.0,node-2FCC00,IDLE,0,,0,0,0,30,200,0,0,20,4,SCHEDULABLE
11.98,node-2FCC00,IDLE,0,,0,0,0,30,200,0,0,20,4,SCHEDULABLE
12.98,node-2FCC00,IDLE,0,,0,0,0,30,200,0,0,20,4,SCHEDULABLE
13.98,node-2FCC00,IDLE,0,,0,0,0,30,200,0,0,20,4,SCHEDULABLE
15.06,node-2FCC00,IDLE,0,,0,0,0,29,200,0,0,20,4,SCHEDULABLE
16.0,node-2FCC00,IDLE,0,,0,0,0,30,200,0,0,20,4,SCHEDULABLE
16.99,node-2FCC00,IDLE,0,,0,0,0,29,200,0,0,20,4,SCHEDULABLE
18.03,node-2FCC00,IDLE,0,,0,0,0,29,200,0,0,20,4,SCHEDULABLE
19.06,node-2FCC00,IDLE,0,,0,0,0,29,200,0,0,20,4,SCHEDULABLE
20.01,node-2FCC00,IDLE,0,,0,0,0,29,200,0,0,20,4,SCHEDULABLE
21.02,node-2FCC00,IDLE,0,,0,0,0,28,200,0,0,20,4,SCHEDULABLE
22.03,node-2FCC00,IDLE,0,,0,0,0,30,200,0,0,20,4,SCHEDULABLE
23.05,node-2FCC00,IDLE,0,,0,0,0,29,200,0,0,20,4,SCHEDULABLE
24.01,node-2FCC00,IDLE,0,,0,0,0,30,200,0,0,20,4,SCHEDULABLE
25.02,node-2FCC00,IDLE,0,,0,0,0,28,200,0,0,20,4,SCHEDULABLE
26.01,node-2FCC00,IDLE,0,,0,0,0,29,200,0,0,20,4,SCHEDULABLE
27.04,node-2FCC00,IDLE,0,,0,0,0,27,200,0,0,20,4,SCHEDULABLE
28.07,node-2FCC00,IDLE,0,,0,0,0,29,200,0,0,20,4,SCHEDULABLE
29.03,node-2FCC00,IDLE,0,,0,0,0,29,200,0,0,20,4,SCHEDULABLE
30.04,node-2FCC00,IDLE,0,,0,0,0,30,200,0,0,20,4,SCHEDULABLE
31.05,node-2FCC00,IDLE,0,,0,0,0,28,200,0,0,20,4,SCHEDULABLE
32.05,node-2FCC00,IDLE,0,,0,0,0,30,200,0,0,20,4,SCHEDULABLE
33.04,node-2FCC00,IDLE,0,,0,0,0,30,200,0,0,20,4,SCHEDULABLE
34.04,node-2FCC00,IDLE,0,,0,0,0,29,200,0,0,20,4,SCHEDULABLE
35.05,node-2FCC00,IDLE,0,,0,0,0,28,200,0,0,20,4,SCHEDULABLE
36.05,node-2FCC00,IDLE,0,,0,0,0,31,200,0,0,20,4,SCHEDULABLE
37.05,node-2FCC00,IDLE,0,,0,0,0,29,200,0,0,20,4,SCHEDULABLE
38.05,node-2FCC00,IDLE,0,,0,0,0,31,200,0,0,20,4,SCHEDULABLE
39.05,node-2FCC00,HOSTING,3,node-34A9F0,2,0,0,29,200,0,0,20,4,SCHEDULABLE
40.06,node-2FCC00,HOSTING,3,node-34A9F0,2,0,0,27,200,0,0,20,4,SCHEDULABLE
41.06,node-2FCC00,HOSTING,3,node-34A9F0,2,0,0,30,200,0,0,20,4,SCHEDULABLE
42.05,node-2FCC00,HOSTING,3,node-34A9F0,2,0,0,29,200,0,0,20,4,SCHEDULABLE
43.05,node-2FCC00,HOSTING,3,node-34A9F0,2,0,0,28,200,0,0,20,4,SCHEDULABLE
44.07,node-2FCC00,IDLE,0,,0,0,0,28,200,0,0,20,4,SCHEDULABLE
45.06,node-2FCC00,IDLE,0,,0,0,0,29,200,0,0,20,4,SCHEDULABLE
46.09,node-2FCC00,IDLE,0,,0,0,0,30,200,0,0,20,4,SCHEDULABLE
47.07,node-2FCC00,IDLE,0,,0,0,0,30,200,0,0,20,4,SCHEDULABLE
48.08,node-2FCC00,IDLE,0,,0,0,0,28,200,0,0,20,4,SCHEDULABLE
49.08,node-2FCC00,IDLE,0,,0,0,0,29,200,0,0,20,4,SCHEDULABLE
50.07,node-2FCC00,IDLE,0,,0,0,0,30,200,0,0,20,4,SCHEDULABLE
