t_s,node_id,deleg_state,deleg_state_int,deleg_peer,deleg_blocks,deleg_dispatched,deleg_returned,cpu,load,miss,stress_level,active_blocks,eff_blocks,state
0.34,node-2FCC00,IDLE,0,,0,0,0,58,100,0,0,20,2,SCHEDULABLE
1.34,node-2FCC00,IDLE,0,,0,0,0,60,100,0,0,20,2,SCHEDULABLE
2.42,node-2FCC00,IDLE,0,,0,0,0,59,100,0,0,20,2,SCHEDULABLE
3.34,node-2FCC00,IDLE,0,,0,0,0,59,100,0,0,20,2,SCHEDULABLE
4.37,node-2FCC00,IDLE,0,,0,0,0,59,100,0,0,20,2,SCHEDULABLE
5.35,node-2FCC00,IDLE,0,,0,0,0,59,100,0,0,20,2,SCHEDULABLE
6.35,node-2FCC00,IDLE,0,,0,0,0,59,100,0,0,20,2,SCHEDULABLE
7.34,node-2FCC00,IDLE,0,,0,0,0,59,100,0,0,20,2,SCHEDULABLE
8.34,node-2FCC00,IDLE,0,,0,0,0,59,100,0,0,20,2,SCHEDULABLE
9.35,node-2FCC00,IDLE,0,,0,0,0,59,100,0,0,20,2,SCHEDULABLE
10.35,node-2FCC00,IDLE,0,,0,0,0,59,100,0,0,20,2,SCHEDULABLE
11.35,node-2FCC00,IDLE,0,,0,0,0,62,200,0,0,20,4,SCHEDULABLE
12.34,node-2FCC00,IDLE,0,,0,0,0,66,200,0,0,20,4,SCHEDULABLE
13.34,node-2FCC00,IDLE,0,,0,0,0,66,200,0,0,20,4,SCHEDULABLE
14.4,node-2FCC00,IDLE,0,,0,0,0,65,200,0,0,20,4,SCHEDULABLE
15.35,node-2FCC00,IDLE,0,,0,0,0,66,200,0,0,20,4,SCHEDULABLE
16.34,node-2FCC00,IDLE,0,,0,0,0,66,200,0,0,20,4,SCHEDULABLE
17.37,node-2FCC00,IDLE,0,,0,0,0,65,200,0,0,20,4,SCHEDULABLE
18.4,node-2FCC00,IDLE,0,,0,0,0,66,200,0,0,20,4,SCHEDULABLE
19.34,node-2FCC00,IDLE,0,,0,0,0,66,200,0,0,20,4,SCHEDULABLE
20.34,node-2FCC00,IDLE,0,,0,0,0,66,200,0,0,20,4,SCHEDULABLE
21.36,node-2FCC00,IDLE,0,,0,0,0,66,200,0,0,20,4,SCHEDULABLE
22.34,node-2FCC00,IDLE,0,,0,0,0,66,200,0,0,20,4,SCHEDULABLE
23.41,node-2FCC00,IDLE,0,,0,0,0,65,200,0,0,20,4,SCHEDULABLE
24.34,node-2FCC00,IDLE,0,,0,0,0,66,200,0,0,20,4,SCHEDULABLE
25.34,node-2FCC00,IDLE,0,,0,0,0,66,200,0,0,20,4,SCHEDULABLE
26.34,node-2FCC00,IDLE,0,,0,0,0,65,200,0,0,20,4,SCHEDULABLE
27.41,node-2FCC00,IDLE,0,,0,0,0,65,200,0,0,20,4,SCHEDULABLE
28.34,node-2FCC00,IDLE,0,,0,0,0,66,200,0,0,20,4,SCHEDULABLE
29.35,node-2FCC00,IDLE,0,,0,0,0,65,200,0,0,20,4,SCHEDULABLE
30.38,node-2FCC00,IDLE,0,,0,0,0,66,200,0,0,20,4,SCHEDULABLE
31.34,node-2FCC00,IDLE,0,,0,0,0,66,200,0,0,20,4,SCHEDULABLE
32.42,node-2FCC00,IDLE,0,,0,0,0,65,200,0,0,20,4,SCHEDULABLE
33.34,node-2FCC00,IDLE,0,,0,0,0,66,200,0,0,20,4,SCHEDULABLE
34.34,node-2FCC00,IDLE,0,,0,0,0,65,200,0,0,20,4,SCHEDULABLE
35.39,node-2FCC00,IDLE,0,,0,0,0,65,200,0,0,20,4,SCHEDULABLE
36.34,node-2FCC00,IDLE,0,,0,0,0,66,200,0,0,20,4,SCHEDULABLE
37.34,node-2FCC00,IDLE,0,,0,0,0,66,200,0,0,20,4,SCHEDULABLE
38.34,node-2FCC00,IDLE,0,,0,0,0,65,200,0,0,20,4,SCHEDULABLE
39.39,node-2FCC00,IDLE,0,,0,0,0,66,200,0,0,20,4,SCHEDULABLE
40.35,node-2FCC00,IDLE,0,,0,0,0,66,200,0,0,20,4,SCHEDULABLE
41.34,node-2FCC00,IDLE,0,,0,0,0,66,200,0,0,20,4,SCHEDULABLE
42.34,node-2FCC00,HOSTING,3,node-34A9F0,0,0,0,66,200,0,0,20,4,SCHEDULABLE
43.42,node-2FCC00,HOSTING,3,node-34A9F0,0,0,0,79,200,0,0,20,4,SCHEDULABLE
44.4,node-2FCC00,HOSTING,3,node-34A9F0,0,0,0,77,200,0,0,20,4,SCHEDULABLE
45.4,node-2FCC00,HOSTING,3,node-34A9F0,0,0,0,80,200,1,2,20,4,OVERLOADED
46.41,node-2FCC00,HOSTING,3,node-34A9F0,0,0,0,78,200,1,2,20,4,OVERLOADED
47.52,node-2FCC00,HOSTING,3,node-34A9F0,0,0,0,80,200,0,1,20,4,SCHEDULABLE
48.52,node-2FCC00,HOSTING,3,node-34A9F0,0,0,0,78,200,0,1,20,4,SCHEDULABLE
49.52,node-2FCC00,HOSTING,3,node-34A9F0,0,0,0,73,200,0,0,20,4,SCHEDULABLE
50.51,node-2FCC00,HOSTING,3,node-34A9F0,0,0,0,80,200,0,0,20,4,SCHEDULABLE
51.54,node-2FCC00,HOSTING,3,node-34A9F0,0,0,0,76,200,0,0,20,4,SCHEDULABLE
52.54,node-2FCC00,HOSTING,3,node-34A9F0,0,0,0,82,200,0,0,20,4,SCHEDULABLE
53.52,node-2FCC00,HOSTING,3,node-34A9F0,0,0,0,81,200,2,2,20,4,OVERLOADED
54.52,node-2FCC00,HOSTING,3,node-34A9F0,0,0,0,80,200,2,2,20,4,OVERLOADED
55.52,node-2FCC00,HOSTING,3,node-34A9F0,0,0,0,78,200,0,0,20,4,SCHEDULABLE
56.52,node-2FCC00,HOSTING,3,node-34A9F0,0,0,0,78,200,0,0,20,4,SCHEDULABLE
57.52,node-2FCC00,HOSTING,3,node-34A9F0,0,0,0,83,200,0,0,20,4,SCHEDULABLE
58.57,node-2FCC00,HOSTING,3,node-34A9F0,0,0,0,79,200,0,0,20,4,SCHEDULABLE
59.6,node-2FCC00,HOSTING,3,node-34A9F0,0,0,0,78,200,1,2,20,4,OVERLOADED
60.62,node-2FCC00,HOSTING,3,node-34A9F0,0,0,0,80,200,1,2,20,4,OVERLOADED
61.61,node-2FCC00,HOSTING,3,node-34A9F0,0,0,0,77,200,0,0,20,4,SCHEDULABLE
62.62,node-2FCC00,HOSTING,3,node-34A9F0,0,0,0,76,200,0,0,20,4,SCHEDULABLE
63.67,node-2FCC00,HOSTING,3,node-34A9F0,0,0,0,75,200,0,1,20,4,SCHEDULABLE
64.67,node-2FCC00,HOSTING,3,node-34A9F0,0,0,0,78,200,0,1,20,4,SCHEDULABLE
65.67,node-2FCC00,HOSTING,3,node-34A9F0,0,0,0,82,200,1,2,20,4,OVERLOADED
66.67,node-2FCC00,HOSTING,3,node-34A9F0,0,0,0,79,200,1,2,20,4,OVERLOADED
67.67,node-2FCC00,HOSTING,3,node-34A9F0,0,0,0,77,200,1,2,20,4,OVERLOADED
68.71,node-2FCC00,HOSTING,3,node-34A9F0,0,0,0,80,200,1,2,20,4,OVERLOADED
69.71,node-2FCC00,HOSTING,3,node-34A9F0,0,0,0,78,200,0,0,20,4,SCHEDULABLE
