t_s,node_id,deleg_state,deleg_state_int,deleg_peer,deleg_blocks,deleg_dispatched,deleg_returned,cpu,load,miss,stress_level,active_blocks,eff_blocks,state
0.38,node-2FCC00,IDLE,0,,0,0,0,62,200,0,0,20,4,SCHEDULABLE
1.39,node-2FCC00,IDLE,0,,0,0,0,65,200,0,0,20,4,SCHEDULABLE
2.38,node-2FCC00,IDLE,0,,0,0,0,65,200,0,0,20,4,SCHEDULABLE
3.38,node-2FCC00,IDLE,0,,0,0,0,64,200,0,0,20,4,SCHEDULABLE
4.37,node-2FCC00,IDLE,0,,0,0,0,65,200,0,0,20,4,SCHEDULABLE
5.38,node-2FCC00,IDLE,0,,0,0,0,65,200,0,0,20,4,SCHEDULABLE
6.38,node-2FCC00,IDLE,0,,0,0,0,64,200,0,0,20,4,SCHEDULABLE
7.38,node-2FCC00,IDLE,0,,0,0,0,65,200,0,0,20,4,SCHEDULABLE
8.37,node-2FCC00,IDLE,0,,0,0,0,64,200,0,0,20,4,SCHEDULABLE
9.37,node-2FCC00,IDLE,0,,0,0,0,64,200,0,0,20,4,SCHEDULABLE
10.38,node-2FCC00,IDLE,0,,0,0,0,64,200,0,0,20,4,SCHEDULABLE
11.37,node-2FCC00,IDLE,0,,0,0,0,64,200,0,0,20,4,SCHEDULABLE
12.37,node-2FCC00,IDLE,0,,0,0,0,64,200,0,0,20,4,SCHEDULABLE
13.38,node-2FCC00,IDLE,0,,0,0,0,64,200,0,0,20,4,SCHEDULABLE
14.38,node-2FCC00,IDLE,0,,0,0,0,64,200,0,0,20,4,SCHEDULABLE
15.37,node-2FCC00,IDLE,0,,0,0,0,64,200,0,0,20,4,SCHEDULABLE
16.37,node-2FCC00,IDLE,0,,0,0,0,65,200,0,0,20,4,SCHEDULABLE
17.38,node-2FCC00,IDLE,0,,0,0,0,64,200,0,0,20,4,SCHEDULABLE
18.38,node-2FCC00,IDLE,0,,0,0,0,65,200,0,0,20,4,SCHEDULABLE
19.41,node-2FCC00,IDLE,0,,0,0,0,65,200,0,0,20,4,SCHEDULABLE
20.42,node-2FCC00,IDLE,0,,0,0,0,65,200,0,0,20,4,SCHEDULABLE
