t_s,node_id,deleg_state,deleg_state_int,deleg_peer,deleg_blocks,deleg_dispatched,deleg_returned,cpu,load,miss,stress_level,active_blocks,eff_blocks,state
0.08,node-2FCC00,IDLE,0,,0,0,0,0,100,0,0,20,0,SCHEDULABLE
1.08,node-2FCC00,IDLE,0,,0,0,0,0,100,0,0,20,0,SCHEDULABLE
2.08,node-2FCC00,IDLE,0,,0,0,0,0,100,0,0,20,0,SCHEDULABLE
3.08,node-2FCC00,IDLE,0,,0,0,0,0,100,0,0,20,0,SCHEDULABLE
4.09,node-2FCC00,IDLE,0,,0,0,0,35,100,0,0,20,0,SCHEDULABLE
5.09,node-2FCC00,IDLE,0,,0,0,0,44,100,0,0,20,2,SCHEDULABLE
6.09,node-2FCC00,IDLE,0,,0,0,0,45,100,0,0,20,2,SCHEDULABLE
7.09,node-2FCC00,IDLE,0,,0,0,0,44,100,0,0,20,2,SCHEDULABLE
8.1,node-2FCC00,IDLE,0,,0,0,0,44,100,0,0,20,2,SCHEDULABLE
9.1,node-2FCC00,IDLE,0,,0,0,0,45,100,0,0,20,2,SCHEDULABLE
10.1,node-2FCC00,IDLE,0,,0,0,0,45,100,0,0,20,2,SCHEDULABLE
11.1,node-2FCC00,IDLE,0,,0,0,0,44,100,0,0,20,2,SCHEDULABLE
12.1,node-2FCC00,IDLE,0,,0,0,0,44,100,0,0,20,2,SCHEDULABLE
13.1,node-2FCC00,IDLE,0,,0,0,0,45,100,0,0,20,2,SCHEDULABLE
14.1,node-2FCC00,IDLE,0,,0,0,0,46,200,0,0,20,2,SCHEDULABLE
15.1,node-2FCC00,IDLE,0,,0,0,0,53,200,0,0,20,4,SCHEDULABLE
16.1,node-2FCC00,IDLE,0,,0,0,0,53,200,0,0,20,4,SCHEDULABLE
17.11,node-2FCC00,IDLE,0,,0,0,0,52,200,0,0,20,4,SCHEDULABLE
18.11,node-2FCC00,IDLE,0,,0,0,0,54,200,0,0,20,4,SCHEDULABLE
19.11,node-2FCC00,IDLE,0,,0,0,0,53,200,0,0,20,4,SCHEDULABLE
20.11,node-2FCC00,IDLE,0,,0,0,0,53,200,0,0,20,4,SCHEDULABLE
21.11,node-2FCC00,IDLE,0,,0,0,0,53,200,0,0,20,4,SCHEDULABLE
