# latency_delta shows load-induced overhead above baseline network jitter. Weak correlation confirms jitter dominates.
node_id,load,cpu_mean,cpu_p95,cpu_std,volatility_score,queue_mean,queue_p95,eff_blocks_mean,exec_max_p95,miss_p95,ctrl_latency_p95_ms,telemetry_latency_p95_ms,baseline_latency_ms,latency_delta_ms,drift_mean_ms,drift_p95_ms,drift_max_ms,warning
node-313978,100,8.4,9,0.49,0.49,1,1,2,1,0,0,221,221,0,0,0,0,queue
node-717AC4,100,9,9,0.0,0.0,0,0,2,1,0,0,34,34,0,0,0,0,ok
node-7115F8,100,9.25,9,0.43,0.43,0,0,2,1,0,0,33,33,0,0,0,0,ok
node-2FCC00,100,9,9,0.0,0.0,0,0,2,1,0,0,22,22,0,0,0,0,ok
node-34A9F0,100,9,9,0.0,0.0,0,0,2,1,0,0,109,109,0,0,0,0,ok
node-313978,700,89.22,90,0.42,0.42,0.56,1,14,9,0,0,309,221,88,0,0,0,queue|cpu_saturation
node-717AC4,700,89.11,89,0.31,0.31,0,0,14,9,0,0,101,34,67,0,0,0,ok
node-7115F8,700,89.11,89,0.31,0.31,0,0,14,10,0,0,100,33,67,0,0,0,ok
node-2FCC00,700,89.12,89,0.33,0.33,0,0,14,9,0,0,53,22,31,0,0,0,ok
node-34A9F0,700,89.5,90,0.5,0.5,0,0,14,9,0,0,85,109,-24,0,0,0,cpu_saturation
node-313978,750,96.11,96,0.31,0.31,0,0,15,10,0,0,82,221,-139,0,0,0,cpu_saturation
node-717AC4,750,96.11,96,0.31,0.31,0,0,15,10,0,0,177,34,143,0,0,0,cpu_saturation
node-7115F8,750,96.11,96,0.31,0.31,0,0,15,10,0,0,148,33,115,0,0,0,cpu_saturation
node-2FCC00,750,96,96,0.0,0.0,0,0,15,10,0,0,54,22,32,0,0,0,cpu_saturation
node-34A9F0,750,96,96,0.0,0.0,0.62,1,15,10,0,0,130,109,21,0,0,0,queue|cpu_saturation
node-313978,800,100,100,0.0,0.0,0,0,16,14,20,0,111,221,-110,-3,0,0,miss|cpu_saturation
node-717AC4,800,100,100,0.0,0.0,0,0,16,14,20,0,133,34,99,14,0,112,miss|cpu_saturation
node-7115F8,800,100,100,0.0,0.0,0,0,16,15,20,0,132,33,99,15,10,110,miss|cpu_saturation
node-2FCC00,800,100,100,0.0,0.0,0,0,16,14,20,0,55,22,33,4.88,0,39,miss|cpu_saturation
node-34A9F0,800,100,100,0.0,0.0,0,0,16,13,20,0,117,109,8,0,0,0,miss|cpu_saturation
node-313978,850,100,100,0.0,0.0,0,0,17,15,20,0,171,221,-50,0,0,0,miss|cpu_saturation
node-717AC4,850,100,100,0.0,0.0,0,0,17,14,20,0,29,34,-5,0,0,0,miss|cpu_saturation
node-7115F8,850,100,100,0.0,0.0,0,0,17,15,20,0,27,33,-6,0,0,0,miss|cpu_saturation
node-2FCC00,850,100,100,0.0,0.0,0,0,17,14,20,0,20,22,-2,0,0,0,miss|cpu_saturation
node-34A9F0,850,100,100,0.0,0.0,0,0,17,14,20,0,188,109,79,0,0,0,miss|cpu_saturation
node-313978,900,100,100,0.0,0.0,0,0,18,15,20,0,88,221,-133,0,0,0,miss|cpu_saturation
node-717AC4,900,100,100,0.0,0.0,0,0,18,15,20,0,25,34,-9,0,0,0,miss|cpu_saturation
node-7115F8,900,100,100,0.0,0.0,0,0,18,15,20,0,27,33,-6,0,0,0,miss|cpu_saturation
node-2FCC00,900,100,100,0.0,0.0,0,0,18,15,20,0,68,22,46,0,0,0,miss|cpu_saturation
node-34A9F0,900,100,100,0.0,0.0,0,0,18,14,20,0,112,109,3,0,0,0,miss|cpu_saturation
node-313978,950,100,100,0.0,0.0,0,0,19,16,20,0,133,221,-88,0,0,0,miss|cpu_saturation
node-717AC4,950,100,100,0.0,0.0,0,0,19,15,20,0,32,34,-2,0.86,0,6,miss|cpu_saturation
node-7115F8,950,100,100,0.0,0.0,0,0,19,16,20,0,35,33,2,0,0,0,miss|cpu_saturation
node-2FCC00,950,100,100,0.0,0.0,0,0,19,15,20,0,36,22,14,0,0,0,miss|cpu_saturation
node-34A9F0,950,100,100,0.0,0.0,0,0,19,15,20,0,104,109,-5,0.57,0,4,miss|cpu_saturation
node-313978,1000,100,100,0.0,0.0,0,0,20,17,20,0,112,221,-109,0,0,0,miss|cpu_saturation
node-717AC4,1000,100,100,0.0,0.0,0,0,20,17,20,0,86,34,52,0,0,0,miss|cpu_saturation
node-7115F8,1000,100,100,0.0,0.0,0,0,20,16,20,0,79,33,46,0,0,0,miss|cpu_saturation
node-2FCC00,1000,100,100,0.0,0.0,0,0,20,16,20,0,21,22,-1,0,0,0,miss|cpu_saturation
node-34A9F0,1000,100,100,0.0,0.0,0,0,20,16,20,0,69,109,-40,0,0,0,miss|cpu_saturation
