session_id,label,log_path,summary_csv
session_20260318-033629,2-nodes-base,/Volumes/GAIA_PRIME/devn/distributed-rtos/experiments/2-nodes-base__session_20260318-033629/session_20260318-033629.jsonl,experiments/analysis_outputs/2-nodes-base__session_20260318-033629/summary_session_20260318-033629.csv
session_20260318-033955,2-nodes-base,/Volumes/GAIA_PRIME/devn/distributed-rtos/experiments/2-nodes-base__session_20260318-033955/session_20260318-033955.jsonl,experiments/analysis_outputs/2-nodes-base__session_20260318-033955/summary_session_20260318-033955.csv
session_20260318-034315,2-nodes-base,/Volumes/GAIA_PRIME/devn/distributed-rtos/experiments/2-nodes-base__session_20260318-034315/session_20260318-034315.jsonl,experiments/analysis_outputs/2-nodes-base__session_20260318-034315/summary_session_20260318-034315.csv
session_20260319-135006,2nodes-750_to_1000_50st_3l,/Volumes/GAIA_PRIME/devn/distributed-rtos/experiments/2nodes-750_to_1000_50st_3l__session_20260319-135006/session_20260319-135006.jsonl,experiments/analysis_outputs/2nodes-750_to_1000_50st_3l__session_20260319-135006/summary_session_20260319-135006.csv
session_20260319-135206,2nodes-750_to_1000_50st_3l,/Volumes/GAIA_PRIME/devn/distributed-rtos/experiments/2nodes-750_to_1000_50st_3l__session_20260319-135206/session_20260319-135206.jsonl,experiments/analysis_outputs/2nodes-750_to_1000_50st_3l__session_20260319-135206/summary_session_20260319-135206.csv
session_20260319-135406,2nodes-750_to_1000_50st_3l,/Volumes/GAIA_PRIME/devn/distributed-rtos/experiments/2nodes-750_to_1000_50st_3l__session_20260319-135406/session_20260319-135406.jsonl,experiments/analysis_outputs/2nodes-750_to_1000_50st_3l__session_20260319-135406/summary_session_20260319-135406.csv
session_20260319-140354,2nodes-750_to_1000_50st_3l-warmup,/Volumes/GAIA_PRIME/devn/distributed-rtos/experiments/2nodes-750_to_1000_50st_3l-warmup__session_20260319-140354/session_20260319-140354.jsonl,experiments/analysis_outputs/2nodes-750_to_1000_50st_3l-warmup__session_20260319-140354/summary_session_20260319-140354.csv
session_20260319-140624,2nodes-750_to_1000_50st_3l-warmup,/Volumes/GAIA_PRIME/devn/distributed-rtos/experiments/2nodes-750_to_1000_50st_3l-warmup__session_20260319-140624/session_20260319-140624.jsonl,experiments/analysis_outputs/2nodes-750_to_1000_50st_3l-warmup__session_20260319-140624/summary_session_20260319-140624.csv
session_20260319-140854,2nodes-750_to_1000_50st_3l-warmup,/Volumes/GAIA_PRIME/devn/distributed-rtos/experiments/2nodes-750_to_1000_50st_3l-warmup__session_20260319-140854/session_20260319-140854.jsonl,experiments/analysis_outputs/2nodes-750_to_1000_50st_3l-warmup__session_20260319-140854/summary_session_20260319-140854.csv
session_20260319-152009,4nodes-500_to_1000_100st_3l-test,/Volumes/GAIA_PRIME/devn/distributed-rtos/experiments/4nodes-500_to_1000_100st_3l-test__session_20260319-152009/session_20260319-152009.jsonl,experiments/analysis_outputs/4nodes-500_to_1000_100st_3l-test__session_20260319-152009/summary_session_20260319-152009.csv
session_20260319-152219,4nodes-500_to_1000_100st_3l-test,/Volumes/GAIA_PRIME/devn/distributed-rtos/experiments/4nodes-500_to_1000_100st_3l-test__session_20260319-152219/session_20260319-152219.jsonl,experiments/analysis_outputs/4nodes-500_to_1000_100st_3l-test__session_20260319-152219/summary_session_20260319-152219.csv
session_20260319-152429,4nodes-500_to_1000_100st_3l-test,/Volumes/GAIA_PRIME/devn/distributed-rtos/experiments/4nodes-500_to_1000_100st_3l-test__session_20260319-152429/session_20260319-152429.jsonl,experiments/analysis_outputs/4nodes-500_to_1000_100st_3l-test__session_20260319-152429/summary_session_20260319-152429.csv
session_20260319-220927,2nodes-dualcore-run,/Volumes/GAIA_PRIME/devn/distributed-rtos/experiments/2nodes-dualcore-run__session_20260319-220927/session_20260319-220927.jsonl,experiments/analysis_outputs/2nodes-dualcore-run__session_20260319-220927/summary_session_20260319-220927.csv
session_20260319-221932,2nodes-dualcore-run,/Volumes/GAIA_PRIME/devn/distributed-rtos/experiments/2nodes-dualcore-run__session_20260319-221932/session_20260319-221932.jsonl,experiments/analysis_outputs/2nodes-dualcore-run__session_20260319-221932/summary_session_20260319-221932.csv
session_20260319-222148,2nodes-dualcore-run,/Volumes/GAIA_PRIME/devn/distributed-rtos/experiments/2nodes-dualcore-run__session_20260319-222148/session_20260319-222148.jsonl,experiments/analysis_outputs/2nodes-dualcore-run__session_20260319-222148/summary_session_20260319-222148.csv
session_20260319-222358,2nodes-dualcore-run,/Volumes/GAIA_PRIME/devn/distributed-rtos/experiments/2nodes-dualcore-run__session_20260319-222358/session_20260319-222358.jsonl,experiments/analysis_outputs/2nodes-dualcore-run__session_20260319-222358/summary_session_20260319-222358.csv
session_20260319-223726,2nodes-singlecore-run,/Volumes/GAIA_PRIME/devn/distributed-rtos/experiments/2nodes-singlecore-run__session_20260319-223726/session_20260319-223726.jsonl,experiments/analysis_outputs/2nodes-singlecore-run__session_20260319-223726/summary_session_20260319-223726.csv
session_20260319-223940,2nodes-singlecore-run,/Volumes/GAIA_PRIME/devn/distributed-rtos/experiments/2nodes-singlecore-run__session_20260319-223940/session_20260319-223940.jsonl,experiments/analysis_outputs/2nodes-singlecore-run__session_20260319-223940/summary_session_20260319-223940.csv
session_20260319-224150,2nodes-singlecore-run,/Volumes/GAIA_PRIME/devn/distributed-rtos/experiments/2nodes-singlecore-run__session_20260319-224150/session_20260319-224150.jsonl,experiments/analysis_outputs/2nodes-singlecore-run__session_20260319-224150/summary_session_20260319-224150.csv
session_20260319-225222,2nodes-singlecore-run,/Volumes/GAIA_PRIME/devn/distributed-rtos/experiments/2nodes-singlecore-run__session_20260319-225222/session_20260319-225222.jsonl,experiments/analysis_outputs/2nodes-singlecore-run__session_20260319-225222/summary_session_20260319-225222.csv
session_20260319-225438,2nodes-singlecore-run,/Volumes/GAIA_PRIME/devn/distributed-rtos/experiments/2nodes-singlecore-run__session_20260319-225438/session_20260319-225438.jsonl,experiments/analysis_outputs/2nodes-singlecore-run__session_20260319-225438/summary_session_20260319-225438.csv
session_20260319-225648,2nodes-singlecore-run,/Volumes/GAIA_PRIME/devn/distributed-rtos/experiments/2nodes-singlecore-run__session_20260319-225648/session_20260319-225648.jsonl,experiments/analysis_outputs/2nodes-singlecore-run__session_20260319-225648/summary_session_20260319-225648.csv
session_20260319-230650,2nodes-singlecore-run,/Volumes/GAIA_PRIME/devn/distributed-rtos/experiments/2nodes-singlecore-run__session_20260319-230650/session_20260319-230650.jsonl,experiments/analysis_outputs/2nodes-singlecore-run__session_20260319-230650/summary_session_20260319-230650.csv
session_20260319-230906,2nodes-singlecore-run,/Volumes/GAIA_PRIME/devn/distributed-rtos/experiments/2nodes-singlecore-run__session_20260319-230906/session_20260319-230906.jsonl,experiments/analysis_outputs/2nodes-singlecore-run__session_20260319-230906/summary_session_20260319-230906.csv
session_20260319-231116,2nodes-singlecore-run,/Volumes/GAIA_PRIME/devn/distributed-rtos/experiments/2nodes-singlecore-run__session_20260319-231116/session_20260319-231116.jsonl,experiments/analysis_outputs/2nodes-singlecore-run__session_20260319-231116/summary_session_20260319-231116.csv
