t_s,node_id,deleg_state,deleg_state_int,deleg_peer,deleg_blocks,deleg_dispatched,deleg_returned,cpu,load,miss,stress_level,active_blocks,eff_blocks,state
3.05,node-2FCC00,IDLE,0,,0,0,0,57,100,0,0,20,2,SCHEDULABLE
4.05,node-2FCC00,IDLE,0,,0,0,0,58,200,0,0,20,4,SCHEDULABLE
5.05,node-2FCC00,IDLE,0,,0,0,0,65,200,0,0,20,4,SCHEDULABLE
6.06,node-2FCC00,IDLE,0,,0,0,0,65,200,0,0,20,4,SCHEDULABLE
7.05,node-2FCC00,IDLE,0,,0,0,0,65,200,0,0,20,4,SCHEDULABLE
8.05,node-2FCC00,IDLE,0,,0,0,0,65,200,0,0,20,4,SCHEDULABLE
9.06,node-2FCC00,IDLE,0,,0,0,0,64,200,0,0,20,4,SCHEDULABLE
10.06,node-2FCC00,IDLE,0,,0,0,0,65,200,0,0,20,4,SCHEDULABLE
11.06,node-2FCC00,IDLE,0,,0,0,0,65,200,0,0,20,4,SCHEDULABLE
12.06,node-2FCC00,IDLE,0,,0,0,0,65,200,0,0,20,4,SCHEDULABLE
13.06,node-2FCC00,IDLE,0,,0,0,0,65,200,0,0,20,4,SCHEDULABLE
14.06,node-2FCC00,IDLE,0,,0,0,0,65,200,0,0,20,4,SCHEDULABLE
15.07,node-2FCC00,IDLE,0,,0,0,0,65,200,0,0,20,4,SCHEDULABLE
16.06,node-2FCC00,IDLE,0,,0,0,0,65,200,0,0,20,4,SCHEDULABLE
17.06,node-2FCC00,IDLE,0,,0,0,0,65,200,0,0,20,4,SCHEDULABLE
18.07,node-2FCC00,IDLE,0,,0,0,0,65,200,0,0,20,4,SCHEDULABLE
19.06,node-2FCC00,IDLE,0,,0,0,0,65,200,0,0,20,4,SCHEDULABLE
20.06,node-2FCC00,IDLE,0,,0,0,0,65,200,0,0,20,4,SCHEDULABLE
21.09,node-2FCC00,IDLE,0,,0,0,0,65,200,0,0,20,4,SCHEDULABLE
22.06,node-2FCC00,IDLE,0,,0,0,0,65,200,0,0,20,4,SCHEDULABLE
23.06,node-2FCC00,IDLE,0,,0,0,0,65,200,0,0,20,4,SCHEDULABLE
24.15,node-2FCC00,IDLE,0,,0,0,0,65,200,0,0,20,4,SCHEDULABLE
25.06,node-2FCC00,IDLE,0,,0,0,0,65,200,0,0,20,4,SCHEDULABLE
26.06,node-2FCC00,IDLE,0,,0,0,0,65,200,0,0,20,4,SCHEDULABLE
27.07,node-2FCC00,IDLE,0,,0,0,0,65,200,0,0,20,4,SCHEDULABLE
28.06,node-2FCC00,IDLE,0,,0,0,0,65,200,0,0,20,4,SCHEDULABLE
29.06,node-2FCC00,IDLE,0,,0,0,0,65,200,0,0,20,4,SCHEDULABLE
30.06,node-2FCC00,IDLE,0,,0,0,0,65,200,0,0,20,4,SCHEDULABLE
31.06,node-2FCC00,IDLE,0,,0,0,0,65,200,0,0,20,4,SCHEDULABLE
32.06,node-2FCC00,IDLE,0,,0,0,0,65,200,0,0,20,4,SCHEDULABLE
33.06,node-2FCC00,IDLE,0,,0,0,0,65,200,0,0,20,4,SCHEDULABLE
34.06,node-2FCC00,IDLE,0,,0,0,0,73,950,0,0,20,19,SCHEDULABLE
36.99,node-2FCC00,IDLE,0,,0,0,0,0,100,0,0,20,0,SCHEDULABLE
37.98,node-2FCC00,IDLE,0,,0,0,0,0,100,0,0,20,0,SCHEDULABLE
38.98,node-2FCC00,IDLE,0,,0,0,0,0,100,0,0,20,0,SCHEDULABLE
39.99,node-2FCC00,IDLE,0,,0,0,0,0,100,0,0,20,0,SCHEDULABLE
40.98,node-2FCC00,IDLE,0,,0,0,0,0,100,0,0,20,0,SCHEDULABLE
41.97,node-2FCC00,IDLE,0,,0,0,0,0,100,0,0,20,0,SCHEDULABLE
42.97,node-2FCC00,IDLE,0,,0,0,0,0,100,0,0,20,0,SCHEDULABLE
43.98,node-2FCC00,IDLE,0,,0,0,0,0,100,0,0,20,0,SCHEDULABLE
44.98,node-2FCC00,IDLE,0,,0,0,0,0,100,0,0,20,0,SCHEDULABLE
45.98,node-2FCC00,IDLE,0,,0,0,0,0,100,0,0,20,0,SCHEDULABLE
46.97,node-2FCC00,IDLE,0,,0,0,0,0,100,0,0,20,0,SCHEDULABLE
47.98,node-2FCC00,IDLE,0,,0,0,0,0,100,0,0,20,0,SCHEDULABLE
48.98,node-2FCC00,IDLE,0,,0,0,0,0,100,0,0,20,0,SCHEDULABLE
49.98,node-2FCC00,IDLE,0,,0,0,0,0,100,0,0,20,0,SCHEDULABLE
50.97,node-2FCC00,IDLE,0,,0,0,0,0,100,0,0,20,0,SCHEDULABLE
51.98,node-2FCC00,IDLE,0,,0,0,0,0,100,0,0,20,0,SCHEDULABLE
53.01,node-2FCC00,IDLE,0,,0,0,0,0,100,0,0,20,0,SCHEDULABLE
54.01,node-2FCC00,IDLE,0,,0,0,0,0,100,0,0,20,0,SCHEDULABLE
55.0,node-2FCC00,IDLE,0,,0,0,0,0,100,0,0,20,0,SCHEDULABLE
56.0,node-2FCC00,IDLE,0,,0,0,0,0,100,0,0,20,0,SCHEDULABLE
57.01,node-2FCC00,IDLE,0,,0,0,0,1,100,0,0,20,0,SCHEDULABLE
58.01,node-2FCC00,IDLE,0,,0,0,0,15,100,0,0,20,2,SCHEDULABLE
59.02,node-2FCC00,IDLE,0,,0,0,0,13,100,0,0,20,2,SCHEDULABLE
60.01,node-2FCC00,IDLE,0,,0,0,0,14,100,0,0,20,2,SCHEDULABLE
61.02,node-2FCC00,IDLE,0,,0,0,0,13,100,0,0,20,2,SCHEDULABLE
62.02,node-2FCC00,IDLE,0,,0,0,0,14,100,0,0,20,2,SCHEDULABLE
63.03,node-2FCC00,IDLE,0,,0,0,0,14,100,0,0,20,2,SCHEDULABLE
64.03,node-2FCC00,IDLE,0,,0,0,0,14,100,0,0,20,2,SCHEDULABLE
65.03,node-2FCC00,IDLE,0,,0,0,0,15,100,0,0,20,2,SCHEDULABLE
66.03,node-2FCC00,IDLE,0,,0,0,0,14,100,0,0,20,2,SCHEDULABLE
67.05,node-2FCC00,IDLE,0,,0,0,0,13,100,0,0,20,2,SCHEDULABLE
68.05,node-2FCC00,IDLE,0,,0,0,0,13,100,0,0,20,2,SCHEDULABLE
69.05,node-2FCC00,IDLE,0,,0,0,0,13,100,0,0,20,2,SCHEDULABLE
70.06,node-2FCC00,IDLE,0,,0,0,0,14,100,0,0,20,2,SCHEDULABLE
71.04,node-2FCC00,IDLE,0,,0,0,0,14,100,0,0,20,2,SCHEDULABLE
72.05,node-2FCC00,IDLE,0,,0,0,0,13,100,0,0,20,2,SCHEDULABLE
73.06,node-2FCC00,IDLE,0,,0,0,0,14,100,0,0,20,2,SCHEDULABLE
74.04,node-2FCC00,IDLE,0,,0,0,0,14,100,0,0,20,2,SCHEDULABLE
75.04,node-2FCC00,IDLE,0,,0,0,0,13,100,0,0,20,2,SCHEDULABLE
76.05,node-2FCC00,IDLE,0,,0,0,0,14,100,0,0,20,2,SCHEDULABLE
77.05,node-2FCC00,IDLE,0,,0,0,0,14,100,0,0,20,2,SCHEDULABLE
78.05,node-2FCC00,IDLE,0,,0,0,0,13,100,0,0,20,2,SCHEDULABLE
79.07,node-2FCC00,IDLE,0,,0,0,0,13,100,0,0,20,2,SCHEDULABLE
80.06,node-2FCC00,IDLE,0,,0,0,0,14,100,0,0,20,2,SCHEDULABLE
81.06,node-2FCC00,IDLE,0,,0,0,0,14,100,0,0,20,2,SCHEDULABLE
82.07,node-2FCC00,IDLE,0,,0,0,0,14,100,0,0,20,2,SCHEDULABLE
83.07,node-2FCC00,IDLE,0,,0,0,0,14,100,0,0,20,2,SCHEDULABLE
84.07,node-2FCC00,IDLE,0,,0,0,0,14,100,0,0,20,2,SCHEDULABLE
85.07,node-2FCC00,IDLE,0,,0,0,0,14,100,0,0,20,2,SCHEDULABLE
86.06,node-2FCC00,IDLE,0,,0,0,0,14,100,0,0,20,2,SCHEDULABLE
87.08,node-2FCC00,IDLE,0,,0,0,0,13,100,0,0,20,2,SCHEDULABLE
88.09,node-2FCC00,IDLE,0,,0,0,0,14,100,0,0,20,2,SCHEDULABLE
89.09,node-2FCC00,IDLE,0,,0,0,0,14,100,0,0,20,2,SCHEDULABLE
90.08,node-2FCC00,IDLE,0,,0,0,0,13,100,0,0,20,2,SCHEDULABLE
91.1,node-2FCC00,IDLE,0,,0,0,0,14,100,0,0,20,2,SCHEDULABLE
92.09,node-2FCC00,IDLE,0,,0,0,0,13,100,0,0,20,2,SCHEDULABLE
93.11,node-2FCC00,IDLE,0,,0,0,0,12,100,0,0,20,2,SCHEDULABLE
94.11,node-2FCC00,IDLE,0,,0,0,0,14,100,0,0,20,2,SCHEDULABLE
95.1,node-2FCC00,IDLE,0,,0,0,0,15,100,0,0,20,2,SCHEDULABLE
96.11,node-2FCC00,IDLE,0,,0,0,0,13,100,0,0,20,2,SCHEDULABLE
97.12,node-2FCC00,IDLE,0,,0,0,0,14,100,0,0,20,2,SCHEDULABLE
98.13,node-2FCC00,IDLE,0,,0,0,0,13,100,0,0,20,2,SCHEDULABLE
99.11,node-2FCC00,IDLE,0,,0,0,0,15,100,0,0,20,2,SCHEDULABLE
100.11,node-2FCC00,IDLE,0,,0,0,0,13,100,0,0,20,2,SCHEDULABLE
101.11,node-2FCC00,IDLE,0,,0,0,0,13,100,0,0,20,2,SCHEDULABLE
102.12,node-2FCC00,IDLE,0,,0,0,0,13,100,0,0,20,2,SCHEDULABLE
103.11,node-2FCC00,IDLE,0,,0,0,0,14,100,0,0,20,2,SCHEDULABLE
104.11,node-2FCC00,IDLE,0,,0,0,0,14,100,0,0,20,2,SCHEDULABLE
105.12,node-2FCC00,IDLE,0,,0,0,0,13,100,0,0,20,2,SCHEDULABLE
106.12,node-2FCC00,IDLE,0,,0,0,0,14,100,0,0,20,2,SCHEDULABLE
107.12,node-2FCC00,IDLE,0,,0,0,0,13,100,0,0,20,2,SCHEDULABLE
108.11,node-2FCC00,IDLE,0,,0,0,0,13,100,0,0,20,2,SCHEDULABLE
109.11,node-2FCC00,IDLE,0,,0,0,0,14,100,0,0,20,2,SCHEDULABLE
110.11,node-2FCC00,IDLE,0,,0,0,0,13,100,0,0,20,2,SCHEDULABLE
111.12,node-2FCC00,IDLE,0,,0,0,0,14,100,0,0,20,2,SCHEDULABLE
112.41,node-2FCC00,IDLE,0,,0,0,0,13,100,0,0,20,2,SCHEDULABLE
113.12,node-2FCC00,IDLE,0,,0,0,0,15,100,0,0,20,2,SCHEDULABLE
114.12,node-2FCC00,IDLE,0,,0,0,0,12,100,0,0,20,2,SCHEDULABLE
115.12,node-2FCC00,IDLE,0,,0,0,0,15,100,0,0,20,2,SCHEDULABLE
116.11,node-2FCC00,IDLE,0,,0,0,0,14,100,0,0,20,2,SCHEDULABLE
117.15,node-2FCC00,IDLE,0,,0,0,0,13,100,0,0,20,2,SCHEDULABLE
118.11,node-2FCC00,IDLE,0,,0,0,0,15,100,0,0,20,2,SCHEDULABLE
119.12,node-2FCC00,IDLE,0,,0,0,0,14,100,0,0,20,2,SCHEDULABLE
120.14,node-2FCC00,IDLE,0,,0,0,0,13,100,0,0,20,2,SCHEDULABLE
121.12,node-2FCC00,IDLE,0,,0,0,0,14,100,0,0,20,2,SCHEDULABLE
122.12,node-2FCC00,IDLE,0,,0,0,0,13,100,0,0,20,2,SCHEDULABLE
123.13,node-2FCC00,IDLE,0,,0,0,0,13,100,0,0,20,2,SCHEDULABLE
124.17,node-2FCC00,IDLE,0,,0,0,0,13,100,0,0,20,2,SCHEDULABLE
125.12,node-2FCC00,IDLE,0,,0,0,0,16,100,0,0,20,2,SCHEDULABLE
126.12,node-2FCC00,IDLE,0,,0,0,0,15,100,0,0,20,2,SCHEDULABLE
127.12,node-2FCC00,IDLE,0,,0,0,0,12,100,0,0,20,2,SCHEDULABLE
128.13,node-2FCC00,IDLE,0,,0,0,0,14,100,0,0,20,2,SCHEDULABLE
129.12,node-2FCC00,IDLE,0,,0,0,0,13,100,0,0,20,2,SCHEDULABLE
130.12,node-2FCC00,IDLE,0,,0,0,0,14,100,0,0,20,2,SCHEDULABLE
131.12,node-2FCC00,IDLE,0,,0,0,0,13,100,0,0,20,2,SCHEDULABLE
132.14,node-2FCC00,IDLE,0,,0,0,0,13,100,0,0,20,2,SCHEDULABLE
133.13,node-2FCC00,IDLE,0,,0,0,0,15,100,0,0,20,2,SCHEDULABLE
134.13,node-2FCC00,IDLE,0,,0,0,0,14,100,0,0,20,2,SCHEDULABLE
135.13,node-2FCC00,IDLE,0,,0,0,0,20,200,0,0,20,4,SCHEDULABLE
136.14,node-2FCC00,IDLE,0,,0,0,0,27,200,0,0,20,4,SCHEDULABLE
137.14,node-2FCC00,IDLE,0,,0,0,0,27,200,0,0,20,4,SCHEDULABLE
138.14,node-2FCC00,IDLE,0,,0,0,0,28,200,0,0,20,4,SCHEDULABLE
139.13,node-2FCC00,IDLE,0,,0,0,0,26,200,0,0,20,4,SCHEDULABLE
140.22,node-2FCC00,IDLE,0,,0,0,0,26,200,0,0,20,4,SCHEDULABLE
141.13,node-2FCC00,IDLE,0,,0,0,0,27,200,0,0,20,4,SCHEDULABLE
142.13,node-2FCC00,IDLE,0,,0,0,0,28,200,0,0,20,4,SCHEDULABLE
143.13,node-2FCC00,IDLE,0,,0,0,0,26,200,0,0,20,4,SCHEDULABLE
144.13,node-2FCC00,IDLE,0,,0,0,0,27,200,0,0,20,4,SCHEDULABLE
145.13,node-2FCC00,IDLE,0,,0,0,0,27,200,0,0,20,4,SCHEDULABLE
146.14,node-2FCC00,IDLE,0,,0,0,0,27,200,0,0,20,4,SCHEDULABLE
147.13,node-2FCC00,IDLE,0,,0,0,0,28,200,0,0,20,4,SCHEDULABLE
148.16,node-2FCC00,IDLE,0,,0,0,0,26,200,0,0,20,4,SCHEDULABLE
149.16,node-2FCC00,IDLE,0,,0,0,0,27,200,0,0,20,4,SCHEDULABLE
150.13,node-2FCC00,IDLE,0,,0,0,0,28,200,0,0,20,4,SCHEDULABLE
151.15,node-2FCC00,IDLE,0,,0,0,0,26,200,0,0,20,4,SCHEDULABLE
152.14,node-2FCC00,IDLE,0,,0,0,0,27,200,0,0,20,4,SCHEDULABLE
153.13,node-2FCC00,IDLE,0,,0,0,0,27,200,0,0,20,4,SCHEDULABLE
154.14,node-2FCC00,IDLE,0,,0,0,0,27,200,0,0,20,4,SCHEDULABLE
155.13,node-2FCC00,IDLE,0,,0,0,0,28,200,0,0,20,4,SCHEDULABLE
156.13,node-2FCC00,IDLE,0,,0,0,0,28,200,0,0,20,4,SCHEDULABLE
157.14,node-2FCC00,IDLE,0,,0,0,0,27,200,0,0,20,4,SCHEDULABLE
158.15,node-2FCC00,IDLE,0,,0,0,0,26,200,0,0,20,4,SCHEDULABLE
159.15,node-2FCC00,IDLE,0,,0,0,0,28,200,0,0,20,4,SCHEDULABLE
160.14,node-2FCC00,IDLE,0,,0,0,0,26,200,0,0,20,4,SCHEDULABLE
161.19,node-2FCC00,IDLE,0,,0,0,0,26,200,0,0,20,4,SCHEDULABLE
