t_s,node_id,deleg_state,deleg_state_int,deleg_peer,deleg_blocks,deleg_dispatched,deleg_returned,cpu,load,miss,stress_level,active_blocks,eff_blocks,state
0.31,node-2FCC00,IDLE,0,,0,0,0,51,200,0,0,20,4,SCHEDULABLE
1.13,node-2FCC00,IDLE,0,,0,0,0,33,200,0,0,20,4,SCHEDULABLE
2.01,node-2FCC00,IDLE,0,,0,0,0,54,200,0,0,20,4,SCHEDULABLE
3.05,node-2FCC00,IDLE,0,,0,0,0,53,200,0,0,20,4,SCHEDULABLE
4.06,node-2FCC00,IDLE,0,,0,0,0,54,200,0,0,20,4,SCHEDULABLE
5.09,node-2FCC00,IDLE,0,,0,0,0,54,200,0,0,20,4,SCHEDULABLE
5.99,node-2FCC00,IDLE,0,,0,0,0,56,200,0,0,20,4,SCHEDULABLE
6.99,node-2FCC00,IDLE,0,,0,0,0,52,200,0,0,20,4,SCHEDULABLE
8.01,node-2FCC00,IDLE,0,,0,0,0,54,200,0,0,20,4,SCHEDULABLE
9.01,node-2FCC00,IDLE,0,,0,0,0,53,200,0,0,20,4,SCHEDULABLE
10.02,node-2FCC00,IDLE,0,,0,0,0,52,200,0,0,20,4,SCHEDULABLE
11.02,node-2FCC00,IDLE,0,,0,0,0,53,200,0,0,20,4,SCHEDULABLE
12.01,node-2FCC00,IDLE,0,,0,0,0,53,200,0,0,20,4,SCHEDULABLE
13.01,node-2FCC00,IDLE,0,,0,0,0,53,200,0,0,20,4,SCHEDULABLE
14.03,node-2FCC00,IDLE,0,,0,0,0,53,200,0,0,20,4,SCHEDULABLE
15.05,node-2FCC00,IDLE,0,,0,0,0,54,200,0,0,20,4,SCHEDULABLE
16.02,node-2FCC00,IDLE,0,,0,0,0,54,200,0,0,20,4,SCHEDULABLE
17.01,node-2FCC00,IDLE,0,,0,0,0,53,200,0,0,20,4,SCHEDULABLE
18.02,node-2FCC00,IDLE,0,,0,0,0,54,200,0,0,20,4,SCHEDULABLE
19.01,node-2FCC00,IDLE,0,,0,0,0,53,200,0,0,20,4,SCHEDULABLE
20.02,node-2FCC00,IDLE,0,,0,0,0,53,200,0,0,20,4,SCHEDULABLE
21.01,node-2FCC00,IDLE,0,,0,0,0,53,200,0,0,20,4,SCHEDULABLE
22.02,node-2FCC00,IDLE,0,,0,0,0,52,200,0,0,20,4,SCHEDULABLE
23.01,node-2FCC00,IDLE,0,,0,0,0,54,200,0,0,20,4,SCHEDULABLE
24.01,node-2FCC00,IDLE,0,,0,0,0,52,200,0,0,20,4,SCHEDULABLE
25.01,node-2FCC00,IDLE,0,,0,0,0,54,200,0,0,20,4,SCHEDULABLE
26.02,node-2FCC00,IDLE,0,,0,0,0,53,200,0,0,20,4,SCHEDULABLE
27.01,node-2FCC00,IDLE,0,,0,0,0,53,200,0,0,20,4,SCHEDULABLE
28.02,node-2FCC00,IDLE,0,,0,0,0,52,200,0,0,20,4,SCHEDULABLE
29.01,node-2FCC00,IDLE,0,,0,0,0,55,200,0,0,20,4,SCHEDULABLE
30.11,node-2FCC00,IDLE,0,,0,0,0,52,200,0,0,20,4,SCHEDULABLE
31.02,node-2FCC00,IDLE,0,,0,0,0,55,200,0,0,20,4,SCHEDULABLE
