t_rx_ms,load,cpu,window_ready
1773782320257,700,64,1
1773782322306,700,72,1
1773782324353,700,70,1
1773782326299,700,70,1
1773782328243,700,69,1
1773782330293,700,82,1
1773782332241,700,74,1
1773782334277,700,79,1
1773782336335,700,66,1
1773782338280,700,77,1
1773782340244,800,84,1
1773782342245,800,78,1
1773782344320,800,75,1
1773782346242,800,75,1
1773782348315,800,78,1
1773782350260,800,83,1
1773782352241,800,74,1
1773782354254,800,79,1
1773782356252,800,81,1
1773782358248,800,87,1
1773782361320,900,25,1
1773782363266,900,0,1
1773782365314,900,20,1
1773782367259,900,27,1
1773782369242,900,31,1
1773782371243,900,61,1
1773782373301,900,96,1
1773782375241,900,0,1
1773782378319,900,0,1
1773782380264,1000,0,1
1773782382313,1000,1,1
1773782385282,1000,10,1
1773782387330,1000,16,1
1773782389276,1000,0,1
1773782392242,1000,1,1
1773782394245,1000,0,1
1773782397241,1000,38,1
