node_id,load,cpu_mean,cpu_p95,cpu_std,volatility_score,queue_mean,queue_p95,eff_blocks_mean,exec_max_p95,miss_p95,ctrl_latency_p95_ms,telemetry_latency_p95_ms,warning
node-717AC4,100,4.88,5,0.33,0.33,0,0,2,1,0,0,147,ok
node-717AC4,200,14.67,16,1.05,1.05,0,0,4,2,0,0,135,ok
node-717AC4,300,28.62,30,2.6,2.6,0,0,7,4,0,0,144,ok
node-717AC4,400,40.75,43,1.98,1.98,0,0,9,5,0,0,112,ok
node-717AC4,500,52.67,59,5.79,5.79,0,0,12,6,0,0,137,ok
node-717AC4,600,64.11,67,5.13,5.13,0,0,14,7,0,0,154,ok
node-717AC4,700,74.88,81,5.58,5.58,0,0,16,8,0,0,119,ok
node-717AC4,800,77.75,80,8.29,8.29,0,0,19,10,0,0,103,ok
node-717AC4,900,36.62,57,29.64,29.64,0,0,21,11,20,0,98,miss
node-717AC4,1000,20.29,19,17.93,17.93,0,0,24,13,20,0,129,miss
