t_s,node_id,deleg_state,deleg_state_int,deleg_peer,deleg_blocks,deleg_dispatched,deleg_returned,cpu,load,miss,stress_level,active_blocks,eff_blocks,state
5.38,node-2FCC00,IDLE,0,,0,0,0,15,100,0,0,20,2,SCHEDULABLE
6.26,node-2FCC00,IDLE,0,,0,0,0,40,400,0,0,20,8,SCHEDULABLE
7.26,node-2FCC00,IDLE,0,,0,0,0,52,400,0,0,20,8,SCHEDULABLE
8.26,node-2FCC00,IDLE,0,,0,0,0,52,400,0,0,20,8,SCHEDULABLE
9.26,node-2FCC00,IDLE,0,,0,0,0,52,400,0,0,20,8,SCHEDULABLE
10.26,node-2FCC00,IDLE,0,,0,0,0,52,400,0,0,20,8,SCHEDULABLE
11.26,node-2FCC00,IDLE,0,,0,0,0,52,400,0,0,20,8,SCHEDULABLE
12.26,node-2FCC00,IDLE,0,,0,0,0,53,400,0,0,20,8,SCHEDULABLE
13.26,node-2FCC00,IDLE,0,,0,0,0,52,400,0,0,20,8,SCHEDULABLE
14.28,node-2FCC00,IDLE,0,,0,0,0,51,400,0,0,20,8,SCHEDULABLE
15.26,node-2FCC00,IDLE,0,,0,0,0,53,400,0,0,20,8,SCHEDULABLE
16.26,node-2FCC00,IDLE,0,,0,0,0,52,400,0,0,20,8,SCHEDULABLE
17.36,node-2FCC00,IDLE,0,,0,0,0,51,400,0,0,20,8,SCHEDULABLE
18.27,node-2FCC00,IDLE,0,,0,0,0,52,400,0,0,20,8,SCHEDULABLE
19.3,node-2FCC00,IDLE,0,,0,0,0,54,400,0,0,20,8,SCHEDULABLE
20.26,node-2FCC00,IDLE,0,,0,0,0,52,400,0,0,20,8,SCHEDULABLE
21.27,node-2FCC00,IDLE,0,,0,0,0,53,400,0,0,20,8,SCHEDULABLE
22.31,node-2FCC00,IDLE,0,,0,0,0,53,400,0,0,20,8,SCHEDULABLE
23.27,node-2FCC00,IDLE,0,,0,0,0,51,400,0,0,20,8,SCHEDULABLE
24.26,node-2FCC00,IDLE,0,,0,0,0,52,400,0,0,20,8,SCHEDULABLE
25.26,node-2FCC00,IDLE,0,,0,0,0,52,400,0,0,20,8,SCHEDULABLE
26.26,node-2FCC00,IDLE,0,,0,0,0,53,400,0,0,20,8,SCHEDULABLE
27.26,node-2FCC00,IDLE,0,,0,0,0,53,400,0,0,20,8,SCHEDULABLE
28.31,node-2FCC00,IDLE,0,,0,0,0,52,400,0,0,20,8,SCHEDULABLE
29.26,node-2FCC00,IDLE,0,,0,0,0,52,400,0,0,20,8,SCHEDULABLE
30.26,node-2FCC00,IDLE,0,,0,0,0,53,400,0,0,20,8,SCHEDULABLE
31.28,node-2FCC00,IDLE,0,,0,0,0,52,400,0,0,20,8,SCHEDULABLE
32.3,node-2FCC00,IDLE,0,,0,0,0,52,400,0,0,20,8,SCHEDULABLE
33.26,node-2FCC00,IDLE,0,,0,0,0,52,400,0,0,20,8,SCHEDULABLE
34.36,node-2FCC00,IDLE,0,,0,0,0,52,400,0,0,20,8,SCHEDULABLE
35.28,node-2FCC00,IDLE,0,,0,0,0,53,400,0,0,20,8,SCHEDULABLE
36.28,node-2FCC00,REQUESTING,1,node-34A9F0,10,0,0,79,850,3,2,20,19,OVERLOADED
37.28,node-2FCC00,ACTIVE,2,node-34A9F0,10,12,4,82,850,3,2,10,10,OVERLOADED
