topology,load,cpu_mean,cpu_p95,exec_max_p95,miss_p95,telemetry_latency_p95_ms,drift_p95,queue_p95
1-node,100,9.25,9.0,1.0,0.0,53.0,,0.0
1-node,700,89.78,90.0,9.0,0.0,145.0,,1.0
1-node,750,96.22,97.0,10.0,0.0,75.0,,0.0
1-node,800,100.0,100.0,13.0,20.0,345.0,,0.0
1-node,850,100.0,100.0,14.0,20.0,219.0,,0.0
1-node,900,100.0,100.0,14.0,20.0,169.0,,0.0
1-node,950,100.0,100.0,15.0,20.0,96.0,,0.0
1-node,1000,100.0,100.0,16.0,20.0,120.0,,0.0
2-node,100,9.125,9.0,1.5,0.0,27.5,,0.5
2-node,700,89.0,89.0,9.0,0.0,90.5,,0.5
2-node,750,96.0,96.0,10.0,0.0,70.0,,0.5
2-node,800,100.0,100.0,13.0,20.0,110.5,,0.5
2-node,850,100.0,100.0,14.0,20.0,108.5,,0.0
2-node,900,100.0,100.0,14.5,20.0,64.0,,0.0
2-node,950,100.0,100.0,15.0,20.0,118.0,,0.0
2-node,1000,100.0,100.0,16.0,20.0,72.0,,0.0
5-node,100,8.93,9.0,1.0,0.0,83.8,,0.2
5-node,700,89.212,89.4,9.2,0.0,129.6,,0.2
5-node,750,96.066,96.0,10.0,0.0,118.2,,0.2
5-node,800,100.0,100.0,14.0,20.0,109.6,,0.0
5-node,850,100.0,100.0,14.4,20.0,87.0,,0.0
5-node,900,100.0,100.0,14.8,20.0,64.0,,0.0
5-node,950,100.0,100.0,15.4,20.0,68.0,,0.0
5-node,1000,100.0,100.0,16.4,20.0,73.4,,0.0
